Streamliner,Instance,solverTimeDelta,solverNodeDelta
19-26-3,da6eb90be3db493a9e0a9214504c7469.param,3.0,0.0
18-11,db5dbb3206ce9eb0fcdeebcfb2d10624.param,2.200000000000003,0.0
19-26,ebc344a680623374e24b862884328516.param,0.6000000000000014,0.0
4-36,ee3f703a6acd3bbb9a7dd5e49da24bad.param,1.8000000000000007,0.0
4-36,236a91ee40255b3dcadc1b65a5d91217.param,0.5,0.0
9-36,8e4d9468d544995bbf840467f250aece.param,0.6999999999999993,0.0
9-36,fec773640580b27898632fdeff68088e.param,2.1999999999999997,0.0
9-36,beafd2fa26b2c42e910669e0bc2c63fb.param,2.3000000000000043,0.0
12-3,6a40010a678d7573cddfbcdc32e008d8.param,0.6999999999999993,0.0
12-3,beafd2fa26b2c42e910669e0bc2c63fb.param,5.599999999999994,0.0
25-20-4,ba9c3f3686f9ec9d95ca59fbd84dad32.param,1.0,0.0
34-11-4,32ab6e13d9cb5415d59125661029429c.param,0.8000000000000007,0.0
34-11-4,a82dbb14bd47dba26b5e964c98f16b67.param,1.099999999999998,0.0
34-11-4,d7ad04657c44391a56a7cd0f985b5dd4.param,1.1999999999999993,0.0
34-11-4,8a16e1a01ee7b50481e7f860e2dfaf83.param,0.6000000000000014,0.0
20-17,ea734af1a8e58732c3bd8bce6db2c8cb.param,0.9000000000000004,0.0
20-17,d3dd5e045b0a5410944b0caeaa83439e.param,0.5999999999999996,0.0
10-35,062c6739d91e193cf2f64d712f9587a0.param,0.6999999999999993,0.0
10-35,7fe95d04e32f5e433c9da065985a605d.param,7.5,0.0
34,5e179ea386a8207728c3bcee054c9be7.param,0.6999999999999993,0.0
34,18ce785db22aee1f8157c7d1cf67f3c1.param,1.5,0.0
34,b9f1f508aa8337ba9a08be361c83e81e.param,0.6999999999999993,0.0
34,2ee735260a6d1e54159cffd3a091afa1.param,1.0,0.0
34,c406ae075cd2317a0c3536eae4cc85ea.param,0.8000000000000007,0.0
34,03b78450d6c380c354e0379ca857e498.param,1.0999999999999996,0.0
34,d2b843b3dbfa5994a1359d5349bc7dab.param,0.7999999999999989,0.0
11-17,43bd23060224c78a6abb9375767b6a8e.param,0.8999999999999986,0.0
11-17,7f9ba27e72d31f5122447973964d11a6.param,1.0999999999999996,0.0
11-17,c18e15db768695146233a113421e0269.param,1.6999999999999993,0.0
33-3,56f6ac5abd8cf0ecf3ad866947df424b.param,0.9000000000000004,0.0
33-3,f62c5dee3c93c6affee6c086ba239c0a.param,0.5,0.0
33-3,2f3734a8984c0aa5ad836bb153d7c5f9.param,0.5999999999999996,0.0
33-3,4ab3708ed772d73240ded4bca3877f6a.param,0.7000000000000011,0.0
12-9,71cfe3b505d0bb01d3cf339037818a91.param,0.5999999999999996,0.0
10-4-11,a926311740358b28b06c068e7005cc6c.param,0.8000000000000007,0.0
10-4-11,7fe95d04e32f5e433c9da065985a605d.param,12.5,0.0
10-4-11,71cfe3b505d0bb01d3cf339037818a91.param,1.0999999999999996,0.0
10-4,0392834d85511ad24ab8cf326379363a.param,0.8999999999999986,0.0
10-4,84683c9c544653d3e75294f2ece0ef71.param,1.3999999999999986,0.0
10-4,289b81fdcd7a010a25db1ced285dcad3.param,0.6999999999999993,0.0
10-4,ebc344a680623374e24b862884328516.param,0.5,0.0
10-4,da6eb90be3db493a9e0a9214504c7469.param,0.0999999999999659,82355.0
36,1c6d20e3e954fb4f9308e89e19ebb1ed.param,0.6999999999999993,0.0
36,b53d533b59eb19b5de466cd7b9345a1e.param,1.0,0.0
36,9cff9b79dfcc4d7dbc4f6ac83957553e.param,0.5999999999999996,0.0
36,93e36b42bc0a74b4ffe12954eb12ca48.param,0.5999999999999996,0.0
9-36-3,a82dbb14bd47dba26b5e964c98f16b67.param,0.9000000000000004,0.0
9-36-3,0392834d85511ad24ab8cf326379363a.param,1.1000000000000014,0.0
9-36-3,e00e9c1229503428a9da3116c87424a8.param,2.0,0.0
9-36-3,bcd26415b70d9aa3cce4e1062ff5bf72.param,0.39999999999999947,0.0
19-33-3,39484a6796294443ef680764028f6f54.param,0.5,0.0
19-33-3,7b00ce9d058790e5d6219622125cb5d7.param,1.0999999999999996,0.0
12-34,167f4ff9e3c51d9a6b63ab28d67aa552.param,1.0,0.0
