Streamliner,Instance,SolverSatisfiable,SavileRowTotalTime,SolverSolveTime,SolverTimeOut,SolverNodes,SavileRowMemOut,SavileRowTimeOut,BaseModelTime,Seed,RunId
3,c406ae075cd2317a0c3536eae4cc85ea.param,True,99.949,15.0,0.0,118471.0,0,0.0,300,1452898574,
3,490653b05d078c043547fc1a319ca9e2.param,True,89.905,19.0,0.0,41384.0,0,0.0,300,1926475017,
12,da6eb90be3db493a9e0a9214504c7469.param,True,38.689,38.5,0.0,934597.0,0,0.0,300,1422075734,
3,a82dbb14bd47dba26b5e964c98f16b67.param,True,92.68,19.9,0.0,45715.0,0,0.0,300,1844253989,
3,bb1235d8608d1a4acb933ef315479f9a.param,True,91.854,20.5,0.0,31484.0,0,0.0,300,192716508,
3,25b34e97cfcbc6115233208c7269558c.param,True,102.119,22.8,0.0,33555.0,0,0.0,300,721124520,
3,0392834d85511ad24ab8cf326379363a.param,True,100.91799999999999,21.2,0.0,34224.0,0,0.0,300,585091262,
12,fee67975150af79a6bb93e5a3083e201.param,True,113.167,20.3,0.0,86503.0,0,0.0,300,1243609504,
12,4d2df5c20fa9361a54240a386ef83fa3.param,True,46.092,141.5,0.0,3717903.0,0,0.0,300,1949092726,
12,f3c4489357706de4a4497efd4ee07e60.param,True,190.03,19.1,0.0,70531.0,0,0.0,300,2006685547,
12,68cbf36d52a5c0a2cc4416ad768ce05a.param,True,125.014,24.2,0.0,104144.0,0,0.0,300,1719697662,
12,feee7e729bb74b9c03b28310fd479ea9.param,True,143.494,15.2,0.0,77685.0,0,0.0,300,338549758,
12,fde1886181894255c17c055fa8ffae79.param,True,130.251,14.6,0.0,98412.0,0,0.0,300,526627491,
12,7fd5e5683690ed7233639aacd0eaee66.param,True,167.585,46.1,0.0,4451889.0,0,0.0,300,1422075734,
12,45f43cdc113cb2f8d431c844d485aacc.param,True,138.297,15.6,0.0,94721.0,0,0.0,300,1514600599,
12,64c953a6fae4154e70c6db9c5e01e091.param,True,175.252,16.5,0.0,136706.0,0,0.0,300,526627491,
12,ac75b32a3130cde8497cf66be80a6209.param,True,152.384,14.8,0.0,135358.0,0,0.0,300,319782479,
12,f62c5dee3c93c6affee6c086ba239c0a.param,True,168.928,14.9,0.0,98463.0,0,0.0,300,1422075734,
12,236a91ee40255b3dcadc1b65a5d91217.param,True,170.9,16.2,0.0,115659.0,0,0.0,300,2006685547,
12,8851ff4e855a9eeee64557ce3778b1b0.param,True,182.69099999999997,16.1,0.0,144997.0,0,0.0,300,319782479,
12,a50386361dc470c7438b6327453de6ab.param,True,179.49900000000005,14.6,0.0,76350.0,0,0.0,300,1949092726,
12,98b5e0e14ea46bd71e0e0de788b6f6e9.param,True,176.93,24.8,0.0,143420.0,0,0.0,300,1422075734,
12,ecaff57b20253186c144ecba08b2c71c.param,True,170.273,15.7,0.0,144865.0,0,0.0,300,2006685547,
12,86d3d37918cdc4d2230432ef1413f78b.param,True,262.707,9.9,0.0,55109.0,0,0.0,300,1459165846,
