feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-94-1323164217,model,0.0,0.0,0.0,85.539,0.0,0.0,81.4,0.0,47690.0,yes,2019-08-20 13:29:44: ../wrapper.py 94 1 1323164217 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,fd49535a8945777e54e19559cc5e3e34,sat + graded,94,1323164217,1.0,305.0,Seed5-irace-5000/chosenInstances
1,inst-111-1323164217,model,0.0,0.0,0.0,219.743,0.0,0.0,153.0,0.0,36279.0,yes,2019-08-20 13:29:44: ../wrapper.py 111 1 1323164217 tuning -nbCharacter_middle 43 -nbCharacter_delta 1 -maxDist_middle 2 -maxDist_delta 1 -codeWordLength_middle 21 -codeWordLength_delta 4 -numOfCodeWords_middle 11 -numOfCodeWords_delta 1 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 16 -minDist_delta 13,c61303cfc9cc5997e3557506f9e985fd,sat + graded,111,1323164217,1.0,311.0,Seed5-irace-5000/chosenInstances
1,inst-125-1323164217,model,0.0,0.0,0.0,170.55,0.0,0.0,92.8,0.0,143124.0,yes,2019-08-20 13:29:47: ../wrapper.py 125 1 1323164217 tuning -nbCharacter_middle 4 -nbCharacter_delta 12 -maxDist_middle 3 -maxDist_delta 20 -codeWordLength_middle 2 -codeWordLength_delta 18 -numOfCodeWords_middle 38 -numOfCodeWords_delta 2 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 1 -minDist_delta 717,75d9c755b4bf359f26e4254b771f01f8,sat + graded,125,1323164217,1.0,317.0,Seed5-irace-5000/chosenInstances
1,inst-159-1323164217,model,0.0,0.0,0.0,195.597,0.0,0.0,215.7,0.0,408740.0,yes,2019-08-20 13:29:51: ../wrapper.py 159 1 1323164217 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,5749a41719a649088d2e531a7b4fa4ff,sat + graded,159,1323164217,1.0,327.0,Seed5-irace-5000/chosenInstances
1,inst-4-1912589385,model,0.0,0.0,0.0,98.71,0.0,0.0,42.8,0.0,39627.0,yes,2019-08-20 13:39:59: ../wrapper.py 4 1 1912589385 tuning -nbCharacter_middle 6 -nbCharacter_delta 7 -maxDist_middle 1 -maxDist_delta 1 -codeWordLength_middle 7 -codeWordLength_delta 5 -numOfCodeWords_middle 40 -numOfCodeWords_delta 15 -dist_range_middle 13 -dist_range_delta 18 -minDist_middle 128 -minDist_delta 203,dfdf960e2d0ed229bc7e51403191e23f,sat + graded,4,1912589385,1.0,332.0,Seed5-irace-5000/chosenInstances
1,inst-40-1912589385,model,0.0,0.0,0.0,158.134,0.0,0.0,75.5,0.0,11165.0,yes,2019-08-20 13:39:59: ../wrapper.py 40 1 1912589385 tuning -nbCharacter_middle 31 -nbCharacter_delta 6 -maxDist_middle 2 -maxDist_delta 7 -codeWordLength_middle 3 -codeWordLength_delta 21 -numOfCodeWords_middle 19 -numOfCodeWords_delta 2 -dist_range_middle 5 -dist_range_delta 25 -minDist_middle 13 -minDist_delta 1,e730941dbad18edb5f3c679ed859cb7b,sat + graded,40,1912589385,1.0,345.0,Seed5-irace-5000/chosenInstances
1,inst-57-1912589385,model,0.0,0.0,0.0,33.006,0.0,0.0,12.9,0.0,2926.0,yes,2019-08-20 13:39:59: ../wrapper.py 57 1 1912589385 tuning -nbCharacter_middle 12 -nbCharacter_delta 10 -maxDist_middle 2 -maxDist_delta 11 -codeWordLength_middle 25 -codeWordLength_delta 3 -numOfCodeWords_middle 10 -numOfCodeWords_delta 4 -dist_range_middle 8 -dist_range_delta 8 -minDist_middle 1 -minDist_delta 122,bec66568c9e1483f6e58c0e747f2a19a,sat + graded,57,1912589385,1.0,348.0,Seed5-irace-5000/chosenInstances
1,inst-70-1912589385,model,0.0,0.0,0.0,8.16,0.0,0.0,13.1,0.0,61910.0,yes,2019-08-20 13:39:59: ../wrapper.py 70 1 1912589385 tuning -nbCharacter_middle 4 -nbCharacter_delta 13 -maxDist_middle 11 -maxDist_delta 14 -codeWordLength_middle 38 -codeWordLength_delta 1 -numOfCodeWords_middle 1 -numOfCodeWords_delta 6 -dist_range_middle 7 -dist_range_delta 12 -minDist_middle 36 -minDist_delta 229,3f1c3caa977c77baf29a4abc5710f609,sat + graded,70,1912589385,1.0,353.0,Seed5-irace-5000/chosenInstances
1,inst-94-1912589385,model,0.0,0.0,0.0,17.503,0.0,0.0,14.8,0.0,5554.0,yes,2019-08-20 13:39:59: ../wrapper.py 94 1 1912589385 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,9f38bdbee39a9b60bf0d902c30ba01f3,sat + graded,94,1912589385,1.0,358.0,Seed5-irace-5000/chosenInstances
1,inst-94-704231107,model,0.0,0.0,0.0,22.47,0.0,0.0,12.0,0.0,668.0,yes,2019-08-20 13:51:28: ../wrapper.py 94 1 704231107 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,61edac3654c5fd85ee3032010de12120,sat + graded,94,704231107,1.0,388.0,Seed5-irace-5000/chosenInstances
