instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
4b1d2e5c1fc3a0210cd93425901de9bc,3.02859,8.39458,3.54648,0,0,0,3.71324,2.37028,0.0675528,0,0.0770492,0.0770492,0.0765848,176309,481542,250,1532.32,6.12928,2,7.12928,1,167722,0,0.994645,501694,1.40796e+06,594822,1330,0,166250,0,0,166250,2375,0.00792979,0,0.985915,0,0,0.991224,0.0140845,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2375,0,0,0,3.01238,2.95775,0.999261,2.81181,2.70918,0.00621007,0,0.114411,0.106792,0,0,180992,180807,74,70,1,2,2,0.945946,0,0,168625,0,1.00538,507962,498750,168500
60bdb5dace052c366fc07d978b09afc4,3.03148,8.4024,3.54909,0,0,0,3.97673,2.51749,0.0637265,0,0.0703082,0.0703082,0.0698787,190074,520897,286,1752.97,6.12928,2,7.12928,1,181599,0,0.99368,543378,1.52587e+06,644512,1260,0,180180,0,0,180180,2574,0.00693836,0,0.985915,0,0,0.992186,0.0140845,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2574,0,0,0,3.01232,2.95775,0.999262,2.81171,2.70918,0.00620473,0,0.11456,0.106792,0,0,196157,195957,74,70,1,2,2,0.945946,0,0,182754,0,1.00636,550514,540540,182619
eb0b6ca4c8435a90334768a7cecd1755,3.02299,8.32972,3.53087,0,0,0,3.78916,2.27291,0.0721566,0,0.0898809,0.0898809,0.0893094,56823.8,154733,262,1594.92,6.08746,2,7.08746,1,53991,0,0.995519,161430,449730,190635,408,0,53448,0,0,53448,786,0.00755682,0,0.985507,0,0,0.989943,0.0144928,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,786,0,0,0,3.00944,2.95652,0.999262,2.76605,2.66789,0.00613947,0,0.123291,0.109286,0,0,58292,58232.7,72,68,1,2,2,0.944444,0,0,54234,0,1.0045,163214,160344,54194
b3c67df15fe14939e8bce30db5d4fa17,3.02238,8.37624,3.54234,0,0,0,3.3421,2.12815,0.0746381,0,0.0907878,0.0907878,0.0902298,122333,332125,204,1250.37,6.12928,2,7.12928,1,115476,0,0.996582,345192,967255,409056,1120,0,114240,0,0,114240,1632,0.00969899,0,0.985915,0,0,0.989296,0.0140845,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1632,0,0,0,3.01205,2.95775,0.999265,2.81121,2.70918,0.00617805,0,0.115352,0.106792,0,0,124369,124243,74,70,1,2,2,0.945946,0,0,115872,0,1.00343,349012,342720,115787
1ce766f03a8fd5a0e7bcf2ce482d4288,3.01226,8.78067,3.78015,0,0,0,3.68056,2.05811,0.069731,0,0.0781435,0.0781435,0.0777667,153082,431436,248,1636.78,6.59991,2,7.59991,1,145634,0,0.998697,435604,1.27876e+06,550519,1164,0,144336,0,0,144336,1488,0.00799264,0,0.989796,0,0,0.991087,0.0102041,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1488,0,0,0,3.00834,2.96939,0.999614,3.30118,3.21526,0.00382426,0,0.0892907,0.0821431,0,0,154240,154157,101,97,1,2,2,0.960396,0,0,145824,0,1.0013,438688,433008,145768
0ca1061bd763b3064bce03f0671b5f7b,3.0321,8.28694,3.48014,0,0,0,3.55215,2.38899,0.0695369,0,0.081266,0.081266,0.0807679,194158,524174,228,1368,6,2,7,1,184137,0,0.993992,550674,1.52593e+06,640822,1600,0,182400,0,0,182400,2850,0.00868918,0,0.984615,0,0,0.990567,0.0153846,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2850,0,0,0,3.01388,2.95385,0.999116,2.69126,2.58333,0.00709688,0,0.121863,0.114676,0,0,199743,199500,68,64,1,2,2,0.941176,0,0,185250,0,1.00604,558322,547200,185086
50661ce5e2bc6d883ebc904a311b8a60,3.02933,8.32123,3.49997,0,0,0,3.43358,2.38432,0.0713102,0,0.083341,0.083341,0.0829033,283664,766939,212,1281.41,6.04439,2,7.04439,1,268498,0,0.994894,802844,2.23423e+06,939735,2508,0,265848,0,0,265848,4028,0.00934085,0,0.985075,0,0,0.99013,0.0149254,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4028,0,0,0,3.01386,2.95522,0.999162,2.73294,2.62595,0.00683003,0,0.117512,0.11191,0,0,290531,290195,70,66,1,2,2,0.942857,0,0,269876,0,1.00513,813368,797544,269650
bb9ef5b232a3bf48c44e01fac22bb7cd,3.01306,8.62462,3.68806,0,0,0,3.30499,2.00707,0.0752422,0,0.0883497,0.0883497,0.0879238,193286,535415,200,1285.25,6.42626,2,7.42626,1,182525,0,0.999042,545650,1.57421e+06,673162,1806,0,180600,0,0,180600,2100,0.00989453,0,0.988506,0,0,0.989453,0.0114943,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2100,0,0,0,3.01017,2.96552,0.999503,3.11211,3.01932,0.00462306,0,0.096565,0.0905439,0,0,194229,194095,90,86,1,2,2,0.955556,0,0,182700,0,1.00096,549958,541800,182609
cb9f6b9040337d4199fbeb078552e6fb,3.01983,8.6616,3.70067,0,0,0,3.70643,2.34579,0.0669637,0,0.0720407,0.0720407,0.0717521,491024,1.37093e+06,248,1597.85,6.44294,2,7.44294,1,467790,0,0.996961,1.39946e+06,4.05181e+06,1.73114e+06,3741,0,463884,0,0,463884,5332,0.00799718,0,0.988636,0,0,0.99165,0.0113636,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5332,0,0,0,3.01065,2.96591,0.999508,3.13114,3.03765,0.00459916,0,0.0935756,0.0897034,3.55271e-15,0,498578,498238,91,87,1,2,2,0.956044,0,0,469216,0,1.00305,1.41265e+06,1.39165e+06,468985
fab876b336ec453610bb10e21c464ba1,3.00714,8.56648,3.67502,0,0,0,3.29062,1.84962,0.0798906,0,0.101702,0.101702,0.101135,54141.6,149476,200,1278.46,6.39232,2,7.39232,1,51008,0,1.00016,152416,436959,187455,504,0,50400,0,0,50400,600,0.0098808,0,0.988235,0,0,0.98808,0.0117647,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,600,0,0,0,3.00761,2.96471,0.999511,3.07056,2.98231,0.00452329,0,0.10379,0.0922772,0,0,54272.2,54235.4,88,84,1,2,2,0.954545,0,0,51000,0,0.999843,153388,151200,50975.1
