instance,clusterIndex,isClusterCenter
5a544612c876b166e578c1d72cebb654,69317307123,0
93f247362589b2ca735df68acaaae635,23032169245,0
ca22d1cc5b14b66dc5536bc88ecb137c,61948474733,0
a5c651295580e155b8b64f36ec2042fa,85296996732,0
022b387e02a516e0001ea380b01f86e7,78486888156,0
eee90344f868928eba36e2c783325107,49451855650,0
02b16bc723dd4f6b926f77ceb75f9889,61688459152,0
da416690494124fc7c532d131fd26c41,52174396554,0
b8dd7b19e04e79d3ef1dcad10c650a00,42245867326,1
0160f7850a58d1ee152b5d3d22120bde,69317307123,0
e27a34642857958bda0a30659bf3fc8b,61948474733,0
7ce5219162949325d2976026a44bcfa4,85296996732,0
e5798acfd7e3b8917b532531efbcb8a0,78486888156,0
9519fe5f0e556be48f084086254c5d77,61688459152,0
893f4de998188983ac16aa51320d3330,52174396554,0
efd1f86b9a25f25dc1078401803b1943,42245867326,0
4ede15fc0aca0ee8f31552dcbc0fe5c7,69317307123,0
f03f23070ee10aceaba88c29f1a8912e,61948474733,0
38efe56c56c6b53b9a9fda51e12e7c6d,78486888156,0
4d41290cc0b465ee4464016fc822867c,49451855650,0
a91d7fce83ffeaa9879f3a98c95cc698,61688459152,0
8128e8384b2cf1ef0b946e4ab396cdb2,52174396554,0
56b6b8a41e9c48b95d6607d363814ca0,42245867326,0
ea4959522923da2eb30b06beff651c77,69317307123,0
5a3e3bb5593ca286b973439e95525dfb,61948474733,0
9ac6eb909af444dd6b330fb68992368e,85296996732,0
6b495aae263fcecceb02ec8662735bbd,78486888156,0
a6930fb74df30fec83dbf27252f5325a,61688459152,0
964c2ed4d3ddce1703f9c848b5d2e445,52174396554,0
3abcde7ecaf80c5d16863bdb319b3fa4,42245867326,0
3a1823bea06db2d5c12ca5e10e8f97f4,61948474733,0
491f6b211d65f178684e82f6828f3891,85296996732,0
7da3a566967db0ebe038e6e200e890c5,61688459152,0
1cd77624bbcc0b4125fc5e1465c79ebb,52174396554,0
41f8ddfbc50b27da0b60df4587ff4cb5,42245867326,0
e33309ef43d09300681077d2b9b92f15,85296996732,0
75b178e390e601385ac2bf88acdf77cd,78486888156,0
c5475b09af4fe1759d2e085978742162,61688459152,0
2201c0643e1c0db035db914d634773b5,52174396554,0
f1daf1a7fd5dfbafec7e1ab4f7cc6c25,42245867326,0
3eb0f1752be861246735b1751fac2ca2,78486888156,1
2ab23096491286263a60e480c71ad92a,8825246760,0
e268ffa9886d529296d94c4a6e67a041,87860269449,0
f99720c5c2ef130b79f2289a03032921,49451855650,0
feafe24237c0e6cb67333cc25279e498,52022807726,1
3fc75e7071de88921462401b761a32ca,82239401594,0
ac5a2ab82b84a922c2f2447a392ccf43,92121975229,0
f137ad0fcef4e85c57282b6af94c026c,52022807726,0
e82a1af2df9f689ec98350f65ec733cf,87860269449,0
56c52252846446910930b3eb0a579212,3943860845,0
cf25e6deb59024eadb6a9c8e295f37dc,8526849239,0
f5906c611b471c29d521abe23e22202e,82239401594,0
