feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,totalWrapperTime,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-652-1001245471,model,0.0,0.0,0.0,0.528,0.0,0.0,203.554,0.0,-1.0,yes,2019-10-29 01:53:43: ../wrapper.py 652 1 1001245471 tuning -n_courses_middle 25 -n_courses_delta 1 -n_periods_middle 21 -n_periods_delta 14 -load_per_period_lb_middle 46 -load_per_period_lb_delta 18 -load_per_period_ub_middle 16 -load_per_period_ub_delta 15 -courses_per_period_lb_middle 8 -courses_per_period_lb_delta 8 -courses_per_period_ub_middle 14 -courses_per_period_ub_delta 19 -prerequisite_cardMiddle 911 -prerequisite_cardDelta 1064 -prerequisite_relation1_middle 37 -prerequisite_relation1_delta 5 -prerequisite_relation2_middle 37 -prerequisite_relation2_delta 8 -course_load_range_middle 7 -course_load_range_delta 10,efacf4e6eee0a5d5ed15b0dae6733ed6,206.771667957306,sat + graded,652,1001245471,5,1642,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-731-1442484079,model,0.0,0.0,0.0,0.9179999999999999,0.0,0.0,17.755,0.0,-1.0,yes,2019-10-29 02:09:31: ../wrapper.py 731 1 1442484079 tuning -n_courses_middle 35 -n_courses_delta 9 -n_periods_middle 14 -n_periods_delta 11 -load_per_period_lb_middle 35 -load_per_period_lb_delta 21 -load_per_period_ub_middle 9 -load_per_period_ub_delta 19 -courses_per_period_lb_middle 2 -courses_per_period_lb_delta 0 -courses_per_period_ub_middle 14 -courses_per_period_ub_delta 16 -prerequisite_cardMiddle 650 -prerequisite_cardDelta 1002 -prerequisite_relation1_middle 50 -prerequisite_relation1_delta 13 -prerequisite_relation2_middle 22 -prerequisite_relation2_delta 2 -course_load_range_middle 11 -course_load_range_delta 19,6fa4de009ffd9915b43843bf8eee94c6,21.503843307495103,sat + graded,731,1442484079,5,1799,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-1007-1965498196,model,0.0,0.0,0.0,0.585,0.0,0.0,153.26,0.0,-1.0,yes,2019-10-29 02:18:28: ../wrapper.py 1007 1 1965498196 tuning -n_courses_middle 39 -n_courses_delta 18 -n_periods_middle 25 -n_periods_delta 18 -load_per_period_lb_middle 45 -load_per_period_lb_delta 15 -load_per_period_ub_middle 33 -load_per_period_ub_delta 15 -courses_per_period_lb_middle 15 -courses_per_period_lb_delta 10 -courses_per_period_ub_middle 11 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 593 -prerequisite_cardDelta 980 -prerequisite_relation1_middle 35 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 3 -prerequisite_relation2_delta 0 -course_load_range_middle 7 -course_load_range_delta 13,79b0475ef0cf234f5adaebdc96d1165a,159.43952107429502,sat + graded,1007,1965498196,6,2047,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-1023-1013400673,model,0.0,0.0,0.0,0.40700000000000003,0.0,0.0,14.503,0.0,-1.0,yes,2019-10-29 02:34:42: ../wrapper.py 1023 1 1013400673 tuning -n_courses_middle 17 -n_courses_delta 9 -n_periods_middle 19 -n_periods_delta 11 -load_per_period_lb_middle 50 -load_per_period_lb_delta 12 -load_per_period_ub_middle 26 -load_per_period_ub_delta 17 -courses_per_period_lb_middle 14 -courses_per_period_lb_delta 17 -courses_per_period_ub_middle 16 -courses_per_period_ub_delta 14 -prerequisite_cardMiddle 709 -prerequisite_cardDelta 1113 -prerequisite_relation1_middle 29 -prerequisite_relation1_delta 0 -prerequisite_relation2_middle 26 -prerequisite_relation2_delta 7 -course_load_range_middle 6 -course_load_range_delta 13,1420278b30bb216c93aec0b9c2727653,17.2622764110565,sat + graded,1023,1013400673,6,2293,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-907-78986094,model,0.0,0.0,0.0,0.433,0.0,0.0,261.499,0.0,-1.0,yes,2019-10-29 02:39:59: ../wrapper.py 907 1 78986094 tuning -n_courses_middle 46 -n_courses_delta 21 -n_periods_middle 19 -n_periods_delta 11 -load_per_period_lb_middle 36 -load_per_period_lb_delta 18 -load_per_period_ub_middle 25 -load_per_period_ub_delta 19 -courses_per_period_lb_middle 8 -courses_per_period_lb_delta 11 -courses_per_period_ub_middle 14 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 788 -prerequisite_cardDelta 920 -prerequisite_relation1_middle 39 -prerequisite_relation1_delta 6 -prerequisite_relation2_middle 8 -prerequisite_relation2_delta 3 -course_load_range_middle 4 -course_load_range_delta 12,3b6e7992ef48b426bc3c4d2777c00681,264.392729282379,sat + graded,907,78986094,6,2358,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-997-78986094,model,0.0,0.0,0.0,0.6729999999999999,0.0,0.0,37.918,0.0,-1.0,yes,2019-10-29 02:44:52: ../wrapper.py 997 1 78986094 tuning -n_courses_middle 46 -n_courses_delta 23 -n_periods_middle 28 -n_periods_delta 21 -load_per_period_lb_middle 38 -load_per_period_lb_delta 14 -load_per_period_ub_middle 35 -load_per_period_ub_delta 15 -courses_per_period_lb_middle 5 -courses_per_period_lb_delta 4 -courses_per_period_ub_middle 14 -courses_per_period_ub_delta 20 -prerequisite_cardMiddle 871 -prerequisite_cardDelta 1088 -prerequisite_relation1_middle 43 -prerequisite_relation1_delta 2 -prerequisite_relation2_middle 7 -prerequisite_relation2_delta 5 -course_load_range_middle 6 -course_load_range_delta 12,74c183867cfffc5ce13c31b6efad7510,41.650295972824104,sat + graded,997,78986094,6,2391,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-1019-78986094,model,0.0,0.0,0.0,0.615,0.0,0.0,79.134,0.0,-1.0,yes,2019-10-29 02:44:57: ../wrapper.py 1019 1 78986094 tuning -n_courses_middle 36 -n_courses_delta 19 -n_periods_middle 24 -n_periods_delta 19 -load_per_period_lb_middle 45 -load_per_period_lb_delta 19 -load_per_period_ub_middle 37 -load_per_period_ub_delta 13 -courses_per_period_lb_middle 13 -courses_per_period_lb_delta 4 -courses_per_period_ub_middle 20 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 182 -prerequisite_cardDelta 753 -prerequisite_relation1_middle 38 -prerequisite_relation1_delta 4 -prerequisite_relation2_middle 11 -prerequisite_relation2_delta 2 -course_load_range_middle 10 -course_load_range_delta 19,ed3d1c037f08d2f6b900519f6ea44f93,82.2058022022247,sat + graded,1019,78986094,6,2403,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-906-1100722462,model,0.0,0.0,0.0,0.44799999999999995,0.0,0.0,146.731,0.0,-1.0,yes,2019-10-29 02:50:15: ../wrapper.py 906 1 1100722462 tuning -n_courses_middle 30 -n_courses_delta 4 -n_periods_middle 6 -n_periods_delta 20 -load_per_period_lb_middle 37 -load_per_period_lb_delta 5 -load_per_period_ub_middle 45 -load_per_period_ub_delta 18 -courses_per_period_lb_middle 24 -courses_per_period_lb_delta 20 -courses_per_period_ub_middle 19 -courses_per_period_ub_delta 2 -prerequisite_cardMiddle 257 -prerequisite_cardDelta 613 -prerequisite_relation1_middle 38 -prerequisite_relation1_delta 2 -prerequisite_relation2_middle 24 -prerequisite_relation2_delta 4 -course_load_range_middle 3 -course_load_range_delta 14,7fb5767643b1bd5d726a0929ae1aafb5,149.765870809555,sat + graded,906,1100722462,6,2471,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-1007-1239644459,model,0.0,0.0,0.0,0.47200000000000003,0.0,0.0,69.681,0.0,-1.0,yes,2019-10-29 03:00:21: ../wrapper.py 1007 1 1239644459 tuning -n_courses_middle 39 -n_courses_delta 18 -n_periods_middle 25 -n_periods_delta 18 -load_per_period_lb_middle 45 -load_per_period_lb_delta 15 -load_per_period_ub_middle 33 -load_per_period_ub_delta 15 -courses_per_period_lb_middle 15 -courses_per_period_lb_delta 10 -courses_per_period_ub_middle 11 -courses_per_period_ub_delta 23 -prerequisite_cardMiddle 593 -prerequisite_cardDelta 980 -prerequisite_relation1_middle 35 -prerequisite_relation1_delta 9 -prerequisite_relation2_middle 3 -prerequisite_relation2_delta 0 -course_load_range_middle 7 -course_load_range_delta 13,dc85c0fdaa288911481b39919a0b9e1d,72.67394900321959,sat + graded,1007,1239644459,6,2557,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
1,inst-953-2071023479,model,0.0,0.0,0.0,0.5429999999999999,0.0,0.0,23.206999999999997,0.0,-1.0,yes,2019-10-29 03:10:43: ../wrapper.py 953 1 2071023479 tuning -n_courses_middle 35 -n_courses_delta 14 -n_periods_middle 18 -n_periods_delta 20 -load_per_period_lb_middle 37 -load_per_period_lb_delta 18 -load_per_period_ub_middle 28 -load_per_period_ub_delta 16 -courses_per_period_lb_middle 12 -courses_per_period_lb_delta 3 -courses_per_period_ub_middle 8 -courses_per_period_ub_delta 24 -prerequisite_cardMiddle 465 -prerequisite_cardDelta 1048 -prerequisite_relation1_middle 48 -prerequisite_relation1_delta 1 -prerequisite_relation2_middle 6 -prerequisite_relation2_delta 3 -course_load_range_middle 3 -course_load_range_delta 13,965f1879c7e6968bdf5643f245456889,26.212732791900603,sat + graded,953,2071023479,6,2644,/lustre/home/dc014/jlps/AIJJournal/instance-generation/experiments/StreamlinerExperiments/BACP-chuffed/030-BalancedAcademicCurriculumProblem/Seed5-irace-5000
