Streamliner,Instance,solverTimeDelta,solverNodeDelta
78,5668120c537df3c234216cf5d8604d87.param,1.1000000000000014,0.0
78,3e890ba794bc3c3c14bbcef9a4a2da00.param,2.8000000000000007,0.0
120,6876c7754ee628028bd1b2bf7e01d429.param,6.399999999999999,0.0
120,64c5e52039e6af25410bce4f755735f3.param,2.199999999999996,0.0
120,ae529c1c11c8b1972783609b3abd0a46.param,2.3999999999999986,0.0
5,a2826a16db8d6d08025d98f66c9b63d1.param,0.0,20015.0
5,94d750e0e99ecacce36e9ed95ca3c431.param,1.7999999999999992,0.0
34-74,bef4ccfe27745dc0917a91c6130efd9b.param,1.200000000000001,0.0
34-74,8ac10728fea0f359083a1cb2e69d581f.param,1.7999999999999972,0.0
34-74,376c84a2f51ddd4fef9ae72aaf72620f.param,12.199999999999989,0.0
13-3,9f155e141230e6597b842428bc1fa768.param,7.399999999999991,0.0
7-6,d5bca02e82f8cf74e4cb4a9a9e07682f.param,0.10000000000000007,0.0
7-6,a2826a16db8d6d08025d98f66c9b63d1.param,0.0,46862.0
7-6,a82b0ad4a2cea17a879b608d40c949b0.param,0.10000000000002274,8734.0
8-86,248020eaf5885c6b4145d63ee843e614.param,0.5999999999999996,0.0
7-78,70cc85ffdcf9aeb48fd3aa7d1a94f20f.param,2.1999999999999997,0.0
Original,421b3adceec1d32bdcd9fc7c4bb0829a.param,1.0000000000000018,0.0
Original,8ac10728fea0f359083a1cb2e69d581f.param,7.200000000000003,0.0
Original,eddce945df715d810e43dc35b6ae57eb.param,3.0,0.0
7,52ce473a5d0fe8991b13951ba2c7529a.param,7.200000000000003,0.0
7-9,52ce473a5d0fe8991b13951ba2c7529a.param,7.5,0.0
7-5,a2826a16db8d6d08025d98f66c9b63d1.param,0.0999999999999659,61127.0
6,acf1685bc3970e1d84fd25653d9399b6.param,0.10000000000000009,0.0
6,7a334801cb1ca48039f175c1172123c2.param,1.3999999999999986,0.0
6,e8d015dc4f53f79ccb44c5cbbf5c4e27.param,3.6999999999999993,0.0
110,acf1685bc3970e1d84fd25653d9399b6.param,7.5,0.0
78,31fd46495d8730f92150630e006d0b6f.param,6.5,0.0
120,434c7776166712ac7bd6d113a9ad23a9.param,1.5,0.0
120,8ac10728fea0f359083a1cb2e69d581f.param,3.9000000000000057,0.0
34-74,f6973984e7e21f95cf3c27e3cdb02454.param,8.599999999999994,0.0
34-74,cd02595e72a74b730637ebeca9e68438.param,21.599999999999994,0.0
34-74,3e890ba794bc3c3c14bbcef9a4a2da00.param,2.200000000000003,0.0
5-8,9cea809c5db9c169b1c21ee7ddb01a99.param,0.30000000000000027,0.0
5-8,da21b0ac5eee05c6a5ea0a976fcc1f04.param,0.0,54703.0
5-8,d183a86cfdc6fcff600dac3df7eb7fc0.param,0.10000000000000009,0.0
13-3,cd02595e72a74b730637ebeca9e68438.param,0.0,344627.0
13-3,f70e77dc502535f4e8695a2a4c424cb9.param,1.0,0.0
13-3,4fc792a39ad0d431ee65a153055a70ea.param,1.9000000000000004,0.0
7-6,cd02595e72a74b730637ebeca9e68438.param,0.0,33306.0
7-6,692304dad90dfaa24b6e778bca5b0124.param,0.19999999999999996,0.0
7-6,31fd46495d8730f92150630e006d0b6f.param,2.6999999999999957,0.0
8-86,da21b0ac5eee05c6a5ea0a976fcc1f04.param,8.099999999999994,0.0
7-3,a2826a16db8d6d08025d98f66c9b63d1.param,0.5,22702.0
7-3,9ddc70f7fe4c9b983ab98e2d0b1aad60.param,0.09999999999999987,0.0
7-78,66540eaf11b86ce84ebf6a1f776009ca.param,1.5,0.0
7-78,5790b26ac5be9b98ee421bee223517a6.param,0.30000000000000027,0.0
