Streamliner,Instance,SolverSatisfiable,SavileRowTotalTime,SolverSolveTime,SolverTimeOut,SolverNodes,SavileRowMemOut,SavileRowTimeOut,BaseModelTime,Seed,RunId
18,90ab5cb6727534cfd4b50d51e110f2fe.param,True,24.352,30.8,0,266048.0,0,0,300,2071023479,
10,fa464f8958d094809650834c5fd6211f.param,True,5.945,8.1,0,115744.0,0,0,300,1239644459,
10,dedbd31150f3411a10b6d1e0dc248018.param,True,3.3360000000000003,5.3,0,100207.0,0,0,300,1013400673,
18,8810968153c337f6d5e495f331c1d84d.param,True,20.3,3.3,0,20205.0,0,0,300,860459089,
18,78aeb98ed2566aaead5670b6a9dadb3d.param,True,18.698,2.6,0,3274.0,0,0,300,1884391688,
18,4b92d932a0e2e5ffcd4fb71610ad10fd.param,True,23.527,3.1,0,4272.0,0,0,300,101414308,
18,85f0e1f468133074506078d4663ed295.param,True,23.795,3.1,0,4045.0,0,0,300,1316827140,
18,914fec53f9953daaf607265952af66bf.param,True,16.764,21.3,0,204412.0,0,0,300,925836541,
18,fdf9485598ea83ec38b516b9e8352381.param,True,23.987,2.8,0,5153.0,0,0,300,344518559,
18,e99f3357ba88d028b0b6a71ba3e654f0.param,True,19.188,3.5,0,11787.0,0,0,300,318880298,
18,6921f5e105773734c046fd35fe5725af.param,True,14.436,49.1,0,758616.0,0,0,300,744323180,
18,658526d77ec075ed1c6a89699e4fa2b1.param,True,22.482,6.0,0,7271.0,0,0,300,1056092832,
18,12bd279c3a93f3543671d028c9e2406a.param,True,22.178,3.7,0,19061.0,0,0,300,1217690403,
18,c233626748eab01a56411b336d2afb3d.param,True,21.452,2.5,0,5624.0,0,0,300,344518559,
18,08d49b98416dbb100bfa4234428efd51.param,True,17.169,51.7,0,499228.0,0,0,300,744323180,
18,2cad957abfd0cfe85a4724cf1c30284f.param,True,6.787000000000001,33.9,0,226820.0,0,0,300,1414625528,
18,2a7d958c571bc1d192ec3f57ff997166.param,True,13.796,15.8,0,19471.0,0,0,300,1316827140,
10,7da0f09e59fd1d248970ae88a75912c8.param,True,6.249,2.9,0,14058.0,0,0,300,68988760,
10,9d4cfc69fbc664128a92acf38137396d.param,True,8.123,5.9,0,59226.0,0,0,300,1284241217,
