Unnamed: 0,Instance,TotalTime,Satisfiable,Killed,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,chuffed_RealTime,chuffed_CPUTime,chuffed_CPUUserTime,chuffed_CPUSystemTime,chuffed_CPUUsage,solver_satisfiable,solver_nodes,solver_failures,solver_restarts,solver_variables,solver_intVars,solver_boolVariables,solver_propagators,solver_propagations,solver_peakDepth,solver_nogoods,solver_backjumps,solver_peakMem,solver_time,solver_initTime,solver_solveTime,solver_objective,solver_baseMem,solver_trailMem,solver_randomSeed
70,67dd59c5190670d2cb13da39251cb17c.param,46.786091,True,False,0.464991,0.419304,0.361085,0.058219,90.1747,17.8485,30.3928,29.1679,1.2249,170.282,28.4726,28.3136,28.235,0.078562,99.4416,True,497263.0,15241.0,56.0,161967.0,18612.0,143353.0,2072.0,9311618.0,1750.0,15241.0,447203.0,0.0,28.365,0.548,27.817,-1.0,0.0,0.63,1909228284.0
71,c06614cd6c1c443ee9e7d0cd3f711601.param,17.065625,True,False,0.490155,0.427941,0.366328,0.061613,87.3073,5.60237,19.2352,18.627,0.608261,343.341,10.9731,10.8881,10.8453,0.042806,99.2259,True,218116.0,34581.0,110.0,57196.0,6840.0,50354.0,2540.0,14183141.0,815.0,34581.0,151840.0,0.0,10.9,0.181,10.719,-1.0,0.0,0.28,1457301386.0
72,66f36f48645fafe35df63ae51a4d0252.param,254.884832,True,False,0.435432,0.397325,0.378616,0.018709,91.2485,68.9864,83.4005,81.8758,1.52467,120.894,185.463,184.513,184.363,0.15032,99.4877,True,1201238.0,36801.0,118.0,242949.0,27918.0,215029.0,3062.0,37682377.0,2128.0,36801.0,1052908.0,0.0,185.27,0.786,184.484,-1.0,0.0,0.94,626340417.0
73,ce501517c92fbd125265cffad658f2f6.param,257.892114,True,False,0.426014,0.368146,0.354188,0.013958,86.4164,175.763,188.803,186.12,2.68379,107.419,81.7031,81.2391,81.0362,0.202889,99.432,True,400355.0,11215.0,40.0,373201.0,42826.0,330373.0,4466.0,16933769.0,2289.0,11215.0,336844.0,0.0,81.416,1.306,80.11,-1.0,0.0,1.41,1457301386.0
74,28fe642a95d634dc97f54aab97728a3b.param,15.202528,True,False,0.451078,0.391832,0.348805,0.043027,86.8657,5.09476,16.3867,15.8029,0.583719,321.637,9.65669,9.60874,9.57392,0.034813,99.5034,True,157075.0,19442.0,63.0,62611.0,7280.0,55329.0,1108.0,5405117.0,743.0,19442.0,118620.0,0.0,9.616,0.183,9.433,-1.0,0.0,0.19,1724245322.0
75,9b71219b3b672d56285486eb5a465957.param,127.616973,True,False,0.462573,0.431352,0.360632,0.07072,93.2506,81.6585,95.0189,93.258,1.76085,116.361,45.4959,45.2364,45.0853,0.151153,99.4298,True,176692.0,11693.0,43.0,269943.0,31020.0,238921.0,3392.0,10661787.0,1836.0,11693.0,122026.0,0.0,45.214,1.017,44.197,-1.0,0.0,0.94,393115690.0
76,eca49819dd4aa6d4cc6054349792f350.param,271.093209,True,False,0.423209,0.393634,0.376704,0.01693,93.0117,162.877,177.869,175.19,2.67914,109.204,107.793,107.212,107.027,0.184255,99.4607,True,661491.0,10834.0,39.0,373803.0,42840.0,330961.0,4300.0,15503630.0,1967.0,10834.0,608008.0,0.0,107.58,1.299,106.281,-1.0,0.0,1.41,508299779.0
77,a08576a010308fd554b10c4cee5a57bd.param,57.38127999999999,True,False,0.57498,0.514318,0.444603,0.069715,89.4497,45.7636,57.0728,55.5946,1.4782,124.712,11.0427,10.916,10.6763,0.239699,98.8529,True,19899.0,2752.0,14.0,178195.0,20720.0,157473.0,3028.0,3337507.0,2037.0,2752.0,2843.0,0.0,10.895,1.166,9.729,-1.0,0.0,0.63,1444739013.0
78,f9ae1620cb6155de05aef073f47002c3.param,24.589517,True,False,0.751717,0.698185,0.615285,0.0829,92.8787,10.662,23.0419,22.2534,0.788506,216.113,13.1758,13.1109,13.0592,0.051673,99.5076,True,138950.0,12012.0,46.0,97617.0,11322.0,86293.0,1602.0,5098175.0,884.0,12012.0,106027.0,0.0,13.122,0.307,12.815,-1.0,0.0,0.42,716030871.0
79,94298f5d8168d8f5c14a5a634ad5dc6a.param,50.739374,True,False,0.507174,0.451532,0.36926,0.082272,89.029,13.4067,25.7919,24.7238,1.06813,192.382,36.8255,36.6148,36.4835,0.131249,99.4279,True,377608.0,16117.0,62.0,138843.0,15912.0,122929.0,1660.0,10125229.0,1084.0,16117.0,331735.0,0.0,36.72,0.485,36.235,-1.0,0.0,0.42,1724245322.0
